Interaction,Muons,Protons,Pions,Kaons
1002,1,0,0,0
1003,0,1,0,0
1004,1,0,0,0
1005,3,0,0,0
1006,1,0,0,0
1007,0,0,0,1
1008,1,0,0,0
1009,0,1,0,1
1010,0,1,0,0
1011,1,0,0,0
1012,1,0,0,0
1013,1,0,0,0
1014,1,0,0,0
1015,1,0,0,0
1016,1,1,2,0
1017,1,1,1,0
1018,0,2,0,0
1019,1,0,0,0
1020,0,0,0,1
1021,1,2,0,1
1022,0,0,1,0
1023,0,0,1,0
1024,1,0,0,0
1025,0,2,0,1
1026,1,0,0,0
1027,1,0,1,2
1028,1,0,0,0
1029,2,0,0,0
1030,1,0,0,0
1031,2,0,1,0
1032,0,1,0,0
1033,1,0,0,0
1034,0,1,0,0
1035,1,1,0,0
1036,1,0,0,0
1037,0,1,0,0
1038,1,0,0,0
1039,0,0,0,1
1040,1,0,0,0
1041,1,0,0,0
1042,1,0,0,0
1043,1,0,0,0
1044,1,0,0,0
1045,0,0,1,0
1046,3,1,0,0
1047,1,0,0,0
1048,1,0,0,0
1049,1,0,0,0
1050,0,0,0,1
1051,2,0,1,0
1052,1,0,0,0
1053,0,0,1,0
1054,1,0,0,0
1055,0,0,1,0
1056,0,1,0,0
1057,0,0,1,0
1058,1,0,0,0
1059,1,1,0,0
1060,1,0,0,0
1061,0,1,0,0
1062,0,0,0,1
1063,0,1,1,0
1064,0,1,0,0
1065,1,0,0,0
1066,1,0,0,0
1067,1,0,0,0
1068,2,0,0,0
1069,0,0,0,1
1070,2,0,0,0
1071,1,0,0,0
1072,0,0,1,0
1073,1,0,0,0
1074,1,0,0,0
1075,1,2,0,0
1076,0,0,2,0
1077,1,0,0,0
1078,0,0,1,0
1079,1,2,0,0
1080,0,1,1,1
1081,0,0,1,0
1082,1,0,0,0
1083,0,0,1,0
1084,1,0,1,0
1085,0,3,0,0
1086,0,0,1,0
1087,1,0,0,0
1088,0,0,1,0
1089,0,0,1,0
1090,1,0,0,0
1091,1,1,1,0
1092,1,0,0,0
1093,2,1,1,0
1094,1,0,0,0
1095,2,1,0,0
